sic_code,sic_group_name,fama_sic_start,fama_sic_end,sic_fama_desc,fama_ind49,fama_grpdesc
100,Industrial Applications and Services,100,199,Agricultural production - crops,1,Agric Agriculture
111,Wheat,100,199,Agricultural production - crops,1,Agric Agriculture
112,Rice,100,199,Agricultural production - crops,1,Agric Agriculture
115,Corn,100,199,Agricultural production - crops,1,Agric Agriculture
116,Soybeans,100,199,Agricultural production - crops,1,Agric Agriculture
119,"Cash Grains, Not Elsewhere Classified",100,199,Agricultural production - crops,1,Agric Agriculture
131,Cotton,100,199,Agricultural production - crops,1,Agric Agriculture
132,Tobacco,100,199,Agricultural production - crops,1,Agric Agriculture
133,Sugarcane and Sugar Beets,100,199,Agricultural production - crops,1,Agric Agriculture
134,Irish Potatoes,100,199,Agricultural production - crops,1,Agric Agriculture
139,"Field Crops, Except Cash Grains, Not Elsewhere Classified",100,199,Agricultural production - crops,1,Agric Agriculture
161,Vegetables and Melons,100,199,Agricultural production - crops,1,Agric Agriculture
171,Berry Crops,100,199,Agricultural production - crops,1,Agric Agriculture
172,Grapes,100,199,Agricultural production - crops,1,Agric Agriculture
173,Tree Nuts,100,199,Agricultural production - crops,1,Agric Agriculture
174,Citrus Fruits,100,199,Agricultural production - crops,1,Agric Agriculture
175,Deciduous Tree Fruits,100,199,Agricultural production - crops,1,Agric Agriculture
179,"Fruits and Tree Nuts, Not Elsewhere Classified",100,199,Agricultural production - crops,1,Agric Agriculture
181,Ornamental Floriculture and Nursery Products,100,199,Agricultural production - crops,1,Agric Agriculture
182,Food Crops Grown Under Cover,100,199,Agricultural production - crops,1,Agric Agriculture
191,"General Farms, Primarily Crop",100,199,Agricultural production - crops,1,Agric Agriculture
200,Industrial Applications and Services,200,299,Agricultural production - livestock,1,Agric Agriculture
211,Beef Cattle Feedlots,200,299,Agricultural production - livestock,1,Agric Agriculture
212,"Beef Cattle, Except Feedlots",200,299,Agricultural production - livestock,1,Agric Agriculture
213,Hogs,200,299,Agricultural production - livestock,1,Agric Agriculture
214,Sheep and Goats,200,299,Agricultural production - livestock,1,Agric Agriculture
219,"General Livestock, Except Dairy and Poultry",200,299,Agricultural production - livestock,1,Agric Agriculture
241,Dairy Farms,200,299,Agricultural production - livestock,1,Agric Agriculture
251,"Broiler, Fryer, and Roaster Chickens",200,299,Agricultural production - livestock,1,Agric Agriculture
252,Chicken Eggs,200,299,Agricultural production - livestock,1,Agric Agriculture
253,Turkeys and Turkey Eggs,200,299,Agricultural production - livestock,1,Agric Agriculture
254,Poultry Hatcheries,200,299,Agricultural production - livestock,1,Agric Agriculture
259,"Poultry and Eggs, Not Elsewhere Classified",200,299,Agricultural production - livestock,1,Agric Agriculture
271,Fur-Bearing Animals and Rabbits,200,299,Agricultural production - livestock,1,Agric Agriculture
272,Horses and Other Equines,200,299,Agricultural production - livestock,1,Agric Agriculture
273,Animal Aquaculture,200,299,Agricultural production - livestock,1,Agric Agriculture
279,"Animal Specialties, Not Elsewhere Classified",200,299,Agricultural production - livestock,1,Agric Agriculture
291,"General Farms, Primarily Livestock and Animal Specialties",200,299,Agricultural production - livestock,1,Agric Agriculture
