sic_code,sic_name,group_code,group_name,division_code,division_name,url,sic_description,sic_examples
5154,Livestock,51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=1&tab=description,"Establishments primarily engaged in buying and/or marketing cattle, hogs, sheep, and goats. This industry also includes the operation of livestock auction markets. ","Auctioning livestock-wholesale
Cattle-wholesale
Goats-wholesale
Hogs-wholesale
Livestock, except horses and mules-wholesale
Sheep-wholesale"
5159,"Farm-Product Raw Materials, Not Elsewhere Classified",51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=2&tab=description,"Establishments primarily engaged in buying and/or marketing farm products, not elsewhere classified. Establishments primarily engaged in the wholesale distribution of milk are classified in Industry 5143, and those distributing live poultry are classified in Industry 5144. ","Animal hair-wholesale
Bristles-wholesale
Broomcorn-wholesale
Buyers of raw farm products, except grain, field beans, and
Chicks-wholesale
Cotton merchants, not members of exchanges-wholesale
Cotton, raw-wholesale
Country buyers of cotton or cotton linters
Dealers in raw farm products, except grain, field beans, and
Dried beet pulp-wholesale
Feathers-wholesale
Fibers, vegetable-wholesale
Furs, raw-wholesale
Hides (may include curing)-wholesale
Hops-wholesale
Horses-wholesale
Merchants of raw farm products, except grain, field beans, and
Mohair, raw-wholesale
Moss-wholesale
Mules-wholesale
Nuts, unprocessed or shelled only-wholesale
Oil kernels-wholesale
Oil nuts-wholesale
Oilseeds-wholesale
Peanuts, bulk: unprocessed or shelled only-wholesale
Pecan-wholesale
Pelts-wholesale
Semen, bovine-wholesale
Silk, raw-wholesale
Skins, raw-wholesale
Sugar, raw-wholesale
Tobacco auctioning and warehousing-wholesale
Tobacco, leaf (including exporters)-wholesale
Wool tops and noils-wholesale
Wool, raw-wholesale"
5162,Plastics Materials and Basic Forms and Shapes,51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=3&tab=description,"Establishments primarily engaged in the wholesale distribution of plastics materials, and of unsupported plastics film, sheets, sheeting, rods, tubes, and other basic forms and shapes. ","Plastics basic shapes-wholesale
Plastics film-wholesale
Plastics materials-wholesale
Plastics resins-wholesale
Plastics sheet and rods-wholesale
Resins, synthetic: except rubber-wholesale"
5169,"Chemicals and Allied Products, Not Elsewhere Classified",51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=4&tab=description,"Establishments primarily engaged in the wholesale distribution of chemicals and allied products, not elsewhere classified, such as acids, industrial and heavy chemicals, dyestuffs, industrial salts, rosin, and turpentine. Establishments primarily engaged in the wholesale distribution of ammunition are classified in Industry Group 509; those distributing agricultural chemicals and pesticides are classified in Industry 5191; those distributing drugs are classified in Industry 5122; and those distributing pigments, paints, and varnishes are classified in Industry 5198. ","Acids-wholesale
Alcohol, industrial-wholesale
Alkalies-wholesale
Ammonia, except for fertilizer-wholesale
Aromatic chemicals-wholesale
Carbon black-wholesale
Caustic soda-wholesale
Chemical bulk stations and terminals-wholesale
Chemicals, industrial and heavy-wholesale
Chlorine-wholesale
Coal tar products, primary and intermediate-wholesale
Concrete additives-wholesale
Cyclic crudes and intermediates-wholesale
Detergents-wholesale
Drilling mud-wholesale
Dry ice-wholesale
Dyestuffs-wholesale
Essential oils-wholesale
Explosives, all kinds except ammunition and fireworks-wholesale
Food additives, chemical-wholesale
Fuel additives-wholesale
Gases, compressed and liquefied: except liquefied petroleum
Gelatin-wholesale
Glue-wholesale
Gum and wood chemicals-wholesale
Industrial gases-wholesale
Laundry soap, chips, and powder-wholesale
Manmade fibers-wholesale
Metal cyanides-wholesale
Metal polishes-wholesale
Metal salts-wholesale
Naval stores-wholesale
Oil additives-wholesale
Oil drilling muds-wholesale
Organic chemicals, synthetic-wholesale
Polishes: furniture, automobile, metal, shoe, etc.-wholesale
Resins, synthetic rubber-wholesale
Rosin-wholesale
Rust-proofing chemicals-wholesale
Salts, industrial-wholesale
Sanitation preparations-wholesale
Sealants-wholesale
Surface active agents-wholesale
Synthetic rubber-wholesale
Turpentine-wholesale
Waxes, except petroleum-wholesale"
5171,Petroleum Bulk stations and Terminals,51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=5&tab=description,"Establishments primarily engaged in the wholesale distribution of crude petroleum and petroleum products, including liquefied petroleum gas, from bulk liquid storage facilities. ",Petroleum bulk stations and terminals-wholesale
5172,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals",51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=6&tab=description,"Establishments primarily engaged in the wholesale distribution of petroleum and petroleum products, except those with bulk liquid storage facilities. Included are packaged and bottled petroleum products distributors, truck jobbers, and others marketing petroleum and its products at wholesale, but without bulk liquid storage facilities. ","Butane gas, except bulk stations and terminals-wholesale
Crude oil, except bulk stations and terminals-wholesale
Fuel oil, except bulk stations and terminals-wholesale
Fueling services, aircraft-wholesale
Gases, liquefied petroleum: except bulk stations and
Gasoline, except bulk stations and terminals-wholesale
Gasoline: buying in bulk and selling to farmers-wholesale
Kerosene-wholesale
Lubricating oils and greases-wholesale
Naphtha, except bulk stations and terminals-wholesale
Petroleum and its products, except bulk stations and
Petroleum brokers-wholesale"
5181,Beer and Ale,51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=7&tab=description,"Establishments primarily engaged in the wholesale distribution of beer, ale, porter, and other fermented malt beverages. ","Ale-wholesale
Beer and other fermented malt liquors-wholesale Porter-wholesale"
5182,Wine and Distilled Alcoholic Beverages,51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=8&tab=description,"Establishments primarily engaged in the wholesale distribution of distilled spirits, including neutral spirits and ethyl alcohol used in blended wines and distilled liquors. ","Bottling wines and liquors-wholesale
Brandy and brandy spirits-wholesale
Cocktails, alcoholic: premixed-wholesale
Liquors, distilled-wholesale
Neutral spirits-wholesale
Spirits-wholesale
Wine coolers, alcoholic-wholesale
Wines-wholesale"
5191,Farm Supplies,51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=9&tab=description,"Establishments primarily engaged in the wholesale distribution of animal feeds, fertilizers, agricultural chemicals, pesticides, seeds, and other farm supplies, except grains. Establishments primarily engaged in the wholesale distribution of pet food are classified in Industry 5149, and those distributing pet supplies are classified in Industry 5199. ","Agricultural chemicals-wholesale
Agricultural limestone-wholesale
Alfalfa-wholesale
Animal feeds, except pet-wholesale
Beekeeping supplies-wholesale
Farm supplies-wholesale
Feed additives, animal-wholesale
Feed, except unmixed grain-wholesale
Fertilizer and fertilizer materials-wholesale
Flower and field bulbs-wholesale
Harness equipment-wholesale
Harness made to individual order-wholesale
Hay-wholesale
Insecticides-wholesale
Lime, agricultural-wholesale
Mineral supplements, animal-wholesale
Pesticides-wholesale
Phosphate rock, ground-wholesale
Seeds: field, garden, and flower-wholesale
Straw-wholesale"
5192,"Books, Periodicals, and Newspapers",51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=10&tab=description,"Establishments primarily engaged in the wholesale distribution of books, periodicals, and newspapers. ","Books-wholesale
Magazines-wholesale
Newspaper agencies-wholesale
Periodicals-wholesale"
5194,Tobacco and Tobacco Products,51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=11&tab=description,"Establishments primarily engaged in the wholesale distribution of tobacco and its products. Leaf tobacco wholesalers are classified in Industry 5159, and establishments primarily engaged in stemming and redrying tobacco are classified in Manufacturing, Industry 2141. ","Chewing tobacco-wholesale
Cigarettes-wholesale
Cigars-wholesale
Smoking tobacco-wholesale
Snuff-wholesale
Tobacco products, manufactured-wholesale
Tobacco, except leaf-wholesale"
5198,"Paints, Varnishes, and Supplies",51,Wholesale Trade-non-durable Goods,F,Wholesale Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=12&tab=description,"Establishments primarily engaged in the wholesale distribution of paints, varnishes, wallpaper, and supplies. Establishments selling to the general public and known as retail in the trade are classified in Retail Trade, Industry 5231. ","Calcimines-wholesale
Colors and pigments-wholesale
Enamels-wholesale
Lacquers-wholesale
Paint brushes, rollers, and sprayers-wholesale
Paints-wholesale
Shellac-wholesale
Varnishes-wholesale
Wallpaper-wholesale"
5211,Lumber and Other Building Materials Dealers,52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=13&tab=description,"Establishments engaged in selling primarily lumber, or lumber and a general line of building materials, to the general public. While these establishments may sell primarily to construction contractors, they are known as retail in the trade. The lumber which they sell may include rough and dressed lumber, flooring, molding, doors, sashes, frames, and other millwork. The building materials may include roofing, siding, shingles, wallboard, paint, brick, tile, cement, sand, gravel, and other building materials and supplies. Hardware is often an important line sold by retail lumber and building materials dealers. Establishments which do not sell to the general public and those which are known in the trade as wholesale are classified in Wholesale Trade, Industry Group 503. ","Brick and tile dealers-retail
Building materials dealers-retail
Buildings, prefabricated-retail
Cabinets, kitchen: to be installed-retail
Concrete and cinder block dealers-retail
Doors-retail
Fencing dealers-retail
Flooring, wood-retail
Garage doors-retail
Insulation material, building-retail
Lime and plaster dealers-retail
Lumber and building materials dealers-retail
Lumber and planing mill product dealers-retail
Millwork and lumber dealers-retail
Paneling-retail
Roofing material dealers-retail
Sand and gravel dealers-retail
Storm windows and sash, wood or metal-retail
Structural clay products-retail
Wallboard (composition) dealers-retail"
5231,"Paint, Glass, and Wallpaper Stores",52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=14&tab=description,"Establishments engaged in selling primarily paint, glass, and wallpaper, or any combination of these lines, to the general public. While these establishments may sell primarily to construction contractors, they are known as retail in the trade. Establishments which do not sell to the general public or are known in the trade as wholesale are classified in Wholesale Trade. ","Glass stores-retail
Paint stores-retail
Wallcovering stores-retail
Wallpaper stores-retail"
5261,"Retail Nurseries, Lawn and Garden Supply Stores",52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=15&tab=description,"Establishments primarily engaged in selling trees, shrubs, other plants, seeds, bulbs, mulches, soil conditioners, fertilizers, pesticides, garden tools, and other garden supplies to the general public. These establishments primarily sell products purchased from others, but may sell some plants which they grow themselves. Establishments primarily engaged in growing trees (except Christmas trees), shrubs, other plants, seeds, and bulbs are classified in Agriculture, Major Group 01 and those growing Christmas trees are classified in Industry 0811. ","Christmas trees (natural)-retail
Garden supplies and tools-retail
Lawnmowers-retail
Nursery stock, seeds and bulbs-retail
Power mowers-retail
Sod-retail
Soil, top-retail"
5271,Mobile Home Dealers,52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=16&tab=description,"Establishments primarily engaged in the retail sale of new and used mobile homes, parts, and equipment. Establishments primarily selling travel trailers and campers are classified in Industry 5561. ","Mobile home equipment-retail
Mobile home parts and accessories-retail
Mobile homes, new and used-retail"
5331,Variety Stores,53,General Merchandise Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=17&tab=description,"Establishments primarily engaged in the retail sale of a variety of merchandise in the low and popular price ranges. Sales usually are made on a cash-and-carry basis, with the open-selling method of display and customer selection of merchandise. These stores generally do not carry a complete line of merchandise, are not departmentalized, do not carry their own charge service, and do not deliver merchandise. ",Limited price variety stores-retail
5399,Miscellaneous General Merchandise Stores,53,General Merchandise Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=18&tab=description,"Establishments primarily engaged in the retail sale of a general line of apparel, dry goods, hardware, housewares or home furnishings, groceries, and other lines in limited amounts. Stores selling commodities covered in the definition for department stores, but normally having less than 50 employees, and stores usually known as country general stores are included in this industry. Establishments primarily engaged in the retail sale of merchandise by television, catalog and mail-order are classified in Industry 5961. ","Catalog showrooms, general merchandise: except catalog
Country general stores-retail
General merchandise stores-retail
General stores-retail"
5411,Grocery Stores,54,Food Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=19&tab=description,"Stores, commonly known as supermarkets, food stores, and grocery stores, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry. ","Convenience food stores-retail
Food markets-retail
Frozen food and freezer plans, except meat-retail
Grocery stores, with or without fresh meat-retail
Supermarkets, grocery-retail"
5421,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners",54,Food Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=20&tab=description,"Establishments primarily engaged in the retail sale of fresh, frozen, or cured meats, fish, shellfish, and other seafoods. This industry includes establishments primarily engaged in the retail sale, on a bulk basis, of meat for freezer storage and in providing home freezer plans. Meat markets may butcher animals on their own account, or they may buy from others. Food locker plants primarily engaged in renting locker space for the storage of food products for individual households are classified in Industry 4222. Establishments primarily engaged in the retail sale of poultry are classified in Industry 5499. ","Fish markets-retail
Freezer food plans, meat-retail
Freezer provisioners, meat-retail
Frozen food and freezer plans, meat-retail
Meat markets-retail
Seafood markets-retail"
5431,Fruit and Vegetable Markets,54,Food Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=21&tab=description,"Establishments primarily engaged in the retail sale of fresh fruits and vegetables. They are frequently found in public or municipal markets or as roadside stands. However, establishments which grow fruits and vegetables and sell them at roadside stands are classified in Agriculture, Major Group 01. ","Fruit markets and stands-retail
Produce markets and stands-retail
Vegetable markets and stands-retail"
5441,"Candy, Nut, and Confectionery Stores",54,Food Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=22&tab=description,"Establishments primarily engaged in the retail sale of candy, nuts, popcorn, and other confections. ","Candy stores-retail
Confectionery produced for direct sale on the premises-retail
Confectionery stores-retail
Nut stores-retail
Popcorn stands-retail"
5451,Dairy Products Stores,54,Food Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=23&tab=description,"Establishments primarily engaged in the retail sale of packaged dairy products to over-the-counter customers. Ice cream and frozen custard stands are classified in Industry 5812, and establishments selling ice cream and similar products from trucks or wagons are classified in Industry 5963. Establishments primarily engaged in processing and distributing milk and cream are classified in Manufacturing, Industry Group 202. ","Butter and other dairy product stores-retail
Cheese stores-retail
Dairy products stores-retail
Ice cream (packaged) stores-retail
Milk and other dairy products stores-retail"
5461,Retail Bakeries,54,Food Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=24&tab=description,"Establishments primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises. Establishments manufacturing bakery products for the trade are classified in Manufacturing, Industry Group 205, and those purchasing bakery products and selling house-to-house are classified in Industry 5963. ","Bagel stores-retail
Bakeries-retail
Cookie stores-retail
Doughnut shops-retail
Pretzel stores and stands-retail"
5499,Miscellaneous Food Stores,54,Food Stores,G,Retail Trade,https://www.osha.gov/pls/imis/sic_manual.display?id=25&tab=description,"Establishments primarily engaged in the retail sale of specialized foods, not elsewhere classified, such as eggs, poultry, health foods, spices, herbs, coffee, and tea. The poultry stores may sell live poultry, slaughter and clean poultry for their own account, and sell dressed fowls, or sell fowls cleaned and dressed by others. ","Coffee stores-retail
Dietetic food stores-retail
Egg dealers-retail
Health food stores-retail
Poultry dealers-retail
Spice and herb stores-retail
Tea stores-retail
Vitamin food stores-retail
Water, mineral-retail"
